reference_code,collection,url
WBJ141AD.BA0974,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/32-mm-quartz/WBJ141AD.BA0974.html
WAY131K.BA0748,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/35-mm-quartz/WAY131K.BA0748.html
WAR2413.BA0776,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/28-mm-calibre-9-automatic/WAR2413.BA0776.html
WAR2452.BD0777,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/28-mm-calibre-9-automatic/WAR2452.BD0777.html
WAY131M.BA0748,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/35-mm-quartz/WAY131M.BA0748.html
WBK1314.FC8261,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/36-mm-quartz/WBK1314.FC8261.html
WBJ141AB.BA0973,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/32-mm-quartz/WBJ141AB.BA0973.html
WAR2414.BA0776,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/28-mm-calibre-9-automatic/WAR2414.BA0776.html
WBD1420.BB0321,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/27-mm-quartz/WBD1420.BB0321.html
WAY111A.BA0928,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/41-mm-quartz/WAY111A.BA0928.html
WAY2013.BA0927,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/43-mm-calibre-5-automatic/WAY2013.BA0927.html
WAY131C.BA0913,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/35-mm-quartz/WAY131C.BA0913.html
WBD2110.BA0928,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/41-mm-calibre-5-automatic/WBD2110.BA0928.html
CAR5A8W.FT6071,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/45-mm-calibre-heuer02t-cosc/CAR5A8W.FT6071.html
WAZ111A.BA0875,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/41-mm-quartz/WAZ111A.BA0875.html
WBJ131A.BA0666,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/35-mm-quartz/WBJ131A.BA0666.html
CAR5A5U.FC6377,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/45-mm-calibre-heuer02t-cosc/CAR5A5U.FC6377.html
WBJ141A.BA0664,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/32-mm-quartz/WBJ141A.BA0664.html
WBJ141AC.BA0974,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/32-mm-quartz/WBJ141AC.BA0974.html
WBC1317.BA0600,LINK,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-link/32-mm-quartz/WBC1317.BA0600.html
WAR2411.BA0776,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/28-mm-calibre-9-automatic/WAR2411.BA0776.html
WAZ1110.FT8023,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/41-mm-quartz/WAZ1110.FT8023.html
WAZ1010.BA0842,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/43-mm-quartz/WAZ1010.BA0842.html
WBD1422.BB0321,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/27-mm-quartz/WBD1422.BB0321.html
WAR201D.FC6291,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-5-automatic/WAR201D.FC6291.html
WBK2311.BA0652,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/36-mm-calibre-5-automatic/WBK2311.BA0652.html
WAZ1120.BB0879,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/41-mm-quartz/WAZ1120.BB0879.html
WBK1318.BA0652,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/36-mm-quartz/WBK1318.BA0652.html
WAR1314.BA0778,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/32-mm-quartz/WAR1314.BA0778.html
CBG2090.BH0661,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/43-mm-calibre-heuer02-automatic/CBG2090.BH0661.html
CAZ1011.BA0842,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/43-mm-quartz/CAZ1011.BA0842.html
CBC2110.BA0603,LINK,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-link/41-mm-calibre-17-automatic/CBC2110.BA0603.html
CBG2010.FT6144,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/43-mm-calibre-heuer02-automatic/CBG2010.FT6144.html
CBC2112.BA0603,LINK,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-link/41-mm-calibre-17-automatic/CBC2112.BA0603.html
CBG2A10.BA0654,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/45-mm-calibre-heuer02-automatic/CBG2A10.BA0654.html
CAZ2012.BA0970,FORMULA 1,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-formula-1/44-mm-calibre-16-automatic/CAZ2012.BA0970.html
CBG2010.BA0662,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/43-mm-calibre-heuer02-automatic/CBG2010.BA0662.html
CAY2112.BA0927,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/43-mm-calibre-16-automatic/CAY2112.BA0927.html
CAW211P.FC6356,MONACO,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-monaco/39-mm-calibre-11-automatic/CAW211P.FC6356.html
CBG2A10.FT6169,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/45-mm-calibre-heuer02-automatic/CBG2A10.FT6169.html
WAR201A.BA0723,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-5-automatic/WAR201A.BA0723.html
WAR201C.BA0723,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-5-automatic/WAR201C.BA0723.html
WAR201C.FC6266,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-5-automatic/WAR201C.FC6266.html
CAY1110.BA0927,AQUARACER,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-aquaracer/43-mm-quartz/CAY1110.BA0927.html
CBK2112.FC6292,CARRERA,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-16-automatic/CBK2112.FC6292.html
CAW211R.FC6401,MONACO,https://www.tagheuer.com/ch/en/timepieces/collections/tag-heuer-monaco/39-mm-calibre-11-automatic/CAW211R.FC6401.html
